ㄹㅇ, 진짜
ㅅㅂ, 시발
ㅆㅂ, 시발
ㄱㅊ, 괜찮
ㅈㄴ, 매우
ㅋㄹㄴ, 코로나
ㅎㅇㅈ, 화이자
호ㅏ, 화
ㅎㅘ, 화
ㅇㅣ, 이
ㅈㅏ, 자
ㅁㅗ, 모
ㄷㅓ, 더
ㄴㅏ, 나
ㅇㅏ, 아
ㄹㅏ, 라
ㅈㅔ, 제
ㄴㅔ, 네
ㅋㅏ, 카
ㄱㅣ, 기
ㄹㅣ, 리
ㄴㅐ, 내
ㄷㅏ, 다
ㅂㅏ, 바
ㅎㅐ, 해
ㄴㅓ, 너
az, 아스트라제네카
j&j, 존슨앤존슨
jnj, 존슨앤존슨
dna, 유전자
+, 그리고
정청장, 정은경
정 청장, 정은경
정은경 청장, 정은경
정은경청장, 정은경
김 총리, 김부겸
김총리, 김부겸
김부겸 총리, 김부겸
김부겸총리, 김부겸
정 총리, 정세균
정총리, 정세균
정세균 총리, 정세균
정새균총리, 정세균
문재인아, 문재인
재인아, 문재인
문재앙, 문재인
문 대통령, 문재인
문대통령, 문재인
문통령, 문재인
문통, 문재인
문재인 대통령, 문재인
더불어민주당, 여당
더민주, 여당
민주당, 여당
국힘당, 국민의힘
국힘, 국민의힘
국민의힘, 야당
개발도상국, 개도국
저개발국, 개도국
미정부, 미국 정부
남아공, 남아프리카공화국
러시아제, 러시아
러시아산, 러시아
질병청, 질병관리청
식품 의약품, 식품의약품
식품의약품 안전처, 식품의약품안전처
식약처, 식품의약품안전처
중앙약심위, 중앙약사심의위원회
중앙약심, 중앙약사심의위원회
삼성 바이오, 삼성바이오
삼성바이오 사이언스, 삼성바이오사이언스
에스케이 바이오, 에스케이바이오
에스케이바이오 사이언스, 에스케이바이오사이언스
삼성바이오, 삼성바이오사이언스
삼바, 삼성바이오사이언스
삼성바이오사이언스사이언스, 삼성바이오사이언스
sk바사, 에스케이바이오사이언스
sk바싸, 에스케이바이오사이언스
sk 바사, 에스케이바이오사이언스
sk바이오사이언스, 에스케이바이오사이언스
sk 바이오사이언스, 에스케이바이오사이언스
sk바이오, 에스케이바이오사이언스
동방ftl, 동방에프티엘
동방 에프티엘, 동방에프티엘
동아st, 동아에스티
노바, 노바백스
노바백스백스, 노바백스
아스트라제너카, 아스트라제네카
아스트라제니카, 아스트라제네카
아스트라 제니카, 아스트라제네카
아스트라 제네카, 아스트라제네카
아스트라, 아스트라제네카
아스트라제네카제네카, 아스트라제네카
아스트라제네카 제네카, 아스트라제네카
아스트리제네카, 아스트라제네카
아스트로제네카, 아스트라제네카
아스트로제니카, 아스트라제네카
아스테라제니카, 아스트라제네카
아제, 아스트라제네카
아재, 아스트라제네카
아젠카, 아스트라제네카
